Name,age,gender,handedness,0,not inverted,left,00:03:365,correct
Name,age,gender,handedness,1,not inverted,right,00:00:737,correct
Name,age,gender,handedness,2,not inverted,right,00:00:565,incorrect
Name,age,gender,handedness,3,not inverted,right,00:01:313,correct
Name,age,gender,handedness,4,not inverted,left,00:01:53,correct
Name,age,gender,handedness,5,not inverted,right,00:00:752,correct
Name,age,gender,handedness,6,not inverted,right,00:00:551,correct
Name,age,gender,handedness,7,not inverted,left,00:00:740,correct
Name,age,gender,handedness,8,not inverted,right,00:00:552,incorrect
Name,age,gender,handedness,0,not inverted,right,00:01:123,incorrect
Name,age,gender,handedness,1,not inverted,left,00:00:548,incorrect
Name,age,gender,handedness,2,not inverted,left,00:00:826,incorrect
Name,age,gender,handedness,0,inverted,left,00:02:153,incorrect
Name,age,gender,handedness,1,inverted,left,00:01:374,incorrect
Name,age,gender,handedness,2,inverted,right,00:00:626,incorrect
Name,age,gender,handedness,0,not inverted,left,00:01:272,correct
Name,age,gender,handedness,1,not inverted,right,00:01:145,correct
Name,age,gender,handedness,2,not inverted,left,00:00:853,incorrect
Name,age,gender,handedness,0,inverted,left,00:01:284,correct
Name,age,gender,handedness,1,inverted,left,00:01:224,correct
Name,age,gender,handedness,2,inverted,left,00:00:475,incorrect
